OBJECTID *,Shape *,ARCID,UP_CELLS,Shape_Length,LENGTH,START_X,START_Y,MID_X,MID_Y,END_X,END_Y
759,Polyline,652517,296,11453.26023,11453.26023,3251.2443,3376320.191,5259.548826,3381296.846,6912.1982,3386120.526
760,Polyline,652518,116,1157.087225,1157.087225,59832.6908,3375266.622,59809.23415,3374688.554,59785.7775,3374110.486
761,Polyline,652519,6677,2829.369513,2829.369513,59785.7775,3374110.486,61006.85795,3374524.208,62190.5278,3374013.189
762,Polyline,652520,6847,2428.115268,2428.115268,62190.5278,3374013.189,63148.03882,3374589.447,64231.6064,3374857.398
763,Polyline,652521,9938,9757.788818,9757.788818,130977.2009,3379323.546,131256.7635,3375172.196,128706.5406,3371533.771
764,Polyline,652522,8757,7220.311341,7220.311341,175705.1905,3371965.288,172133.7341,3371985.694,169564.3634,3370213.347
765,Polyline,652590,916,8212.255232,8212.255232,-137291.1774,3388553.259,-134786.3362,3385792.437,-131970.482,3383128.192
766,Polyline,652591,110,2232.54391,2232.54391,53840.3072,3375974.734,53794.42676,3374859.406,53353.8723,3373910.091
767,Polyline,652592,108,1212.916494,1212.916494,170551.6439,3369720.786,169947.4427,3369743.196,169564.3634,3370213.347
768,Polyline,652681,626,16319.86823,16319.86823,-96885.7295,3380441.972,-89947.46411,3383080.773,-83253.9718,3383182.544
769,Polyline,652682,794,4879.551907,4879.551907,33290.9735,3374291.079,35052.14123,3374830.567,36978.0604,3375986.629
770,Polyline,652683,1027,9554.073678,9554.073678,55241.9466,3380781.279,55880.69736,3376575.889,58545.7636,3373234.419
771,Polyline,652684,6490,1626.110669,1626.110669,58545.7636,3373234.419,59165.7881,3373672.44,59785.7775,3374110.486
772,Polyline,652685,131,3310.307518,3310.307518,125910.183,3371861.178,126620.0954,3370679.766,128274.275,3370622.988
773,Polyline,652686,10098,1074.579151,1074.579151,128706.5406,3371533.771,128639.8541,3371016.729,128274.275,3370622.988
774,Polyline,652687,155,3555.961337,3555.961337,131271.2714,3370289.424,130029.8041,3370563.037,128706.5406,3371533.771
775,Polyline,652751,603,2322.186605,2322.186605,-189056.0318,3385679.092,-188982.2839,3386837.84,-188908.5359,3387996.589
776,Polyline,652752,276,6929.394052,6929.394052,139268.2399,3375573.598,139153.0492,3372110.816,139076.1013,3369795.879
777,Polyline,652817,103,921.951487,921.951487,-189702.9342,3385022.196,-189379.483,3385350.644,-189056.0318,3385679.092
778,Polyline,652818,158,4233.405142,4233.405142,41998.0764,3376005.135,43008.05881,3374248.348,44477.0847,3372889.138
779,Polyline,652819,2469,1203.774269,1203.774269,44477.0847,3372889.138,45078.4441,3372863.939,45679.8035,3372838.74
